层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1.1.英属维尔京群岛,英属维尔京群岛 新增次留,0.0,,,,0.0,0.0,,
1.1.荷兰,荷兰 新增次留,0.138889,0.190184,0.2,0.117647,0.079646,0.141509,-0.051295,-26.971326
1.1.荷兰加勒比,荷兰加勒比 新增次留,,,0.0,,,,,
1.1.荷属圣马丁,荷属圣马丁 新增次留,0.0,,0.0,1.0,0.0,,,
1.1.莫桑比克,莫桑比克 新增次留,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,
1.1.莱索托,莱索托 新增次留,,,,,,,,
1.1.菲律宾,菲律宾 新增次留,0.088889,0.133333,0.224138,0.107143,0.181818,0.153846,-0.044444,-33.333333
1.1.萨尔瓦多,萨尔瓦多 新增次留,0.153846,0.066667,0.1,0.222222,0.090909,0.0,0.087179,130.769231
1.1.萨摩亚,萨摩亚 新增次留,,,,0.0,,1.0,,
1.1.葡萄牙,葡萄牙 新增次留,0.134146,0.164179,0.16129,0.126761,0.052632,0.134615,-0.030033,-18.292683
1.1.蒙古,蒙古 新增次留,,0.0,1.0,0.0,0.0,0.0,,
1.1.西班牙,西班牙 新增次留,0.16726,0.153082,0.135011,0.172897,0.170663,0.155668,0.014178,9.261912
1.1.贝宁,贝宁 新增次留,0.0,0.333333,1.0,0.666667,0.0,,-0.333333,-100.0
1.1.赞比亚,赞比亚 新增次留,0.0,0.0,0.5,0.333333,0.0,0.333333,0.0,
1.1.赤道几内亚,赤道几内亚 新增次留,,,,,,,,
1.1.越南,越南 新增次留,0.266667,0.0,0.3,0.133333,0.235294,0.2,0.266667,
1.1.阿塞拜疆,阿塞拜疆 新增次留,0.142857,0.090909,0.125,0.238095,0.071429,0.076923,0.051948,57.142857
1.1.阿富汗,阿富汗 新增次留,0.0,0.125,0.285714,0.333333,0.0,0.0,-0.125,-100.0
1.1.阿尔及利亚,阿尔及利亚 新增次留,0.052632,0.071429,0.0,0.090909,0.041667,0.0,-0.018797,-26.315789
1.1.阿尔巴尼亚,阿尔巴尼亚 新增次留,0.117647,0.333333,0.083333,0.05,0.133333,0.272727,-0.215686,-64.705882
1.1.阿曼,阿曼 新增次留,0.0,0.333333,0.25,0.25,0.0,0.0,-0.333333,-100.0
1.1.阿根廷,阿根廷 新增次留,0.093023,0.049383,0.04,0.084337,0.036145,0.082474,0.043641,88.372093
1.1.阿联酋,阿联酋 新增次留,0.12,0.242424,0.125,0.157895,0.205128,0.095238,-0.122424,-50.5
