渠道自然,国家,日期,平台,新老,_window,_query,活跃用户数,次日留存人数
整体,斯威士兰,2026-06-29,Android,Old,recent_8w,全量维度,7.857142857142857,3.2857142857142856
整体,瓦努阿图,2026-06-22,整体,整体,recent_8w,全量维度,6.0,2.5714285714285716
整体,瓦努阿图,2026-07-06,整体,整体,recent_8w,全量维度,5.428571428571429,1.7142857142857142
整体,伯利兹,2026-07-27,iOS,New,recent_8w,全量维度,2.4,0.4
整体,法属波利尼西亚,2026-06-15,iOS,Old,recent_8w,全量维度,9.428571428571429,2.5714285714285716
整体,卢森堡,2026-06-22,Android,New,recent_8w,全量维度,1.75,0.25
整体,安圭拉,2026-07-20,iOS,New,recent_8w,全量维度,1.3333333333333333,0.3333333333333333
整体,立陶宛,2026-07-20,iOS,Old,recent_8w,全量维度,813.0,276.85714285714283
整体,英属维尔京群岛,2026-07-27,整体,整体,recent_8w,全量维度,14.142857142857142,6.714285714285714
整体,马提尼克岛,2026-06-22,整体,整体,recent_8w,全量维度,7.857142857142857,3.4285714285714284
整体,开曼群岛,2026-07-06,整体,整体,recent_8w,全量维度,34.285714285714285,12.428571428571429
整体,马提尼克岛,2026-07-06,iOS,Old,recent_8w,全量维度,6.428571428571429,2.857142857142857
整体,突尼斯,2026-07-27,整体,Old,recent_8w,全量维度,434.85714285714283,148.14285714285714
整体,瓜德罗普,2026-07-27,iOS,整体,recent_8w,全量维度,12.285714285714286,4.714285714285714
整体,塞舌尔,2026-06-22,iOS,Old,recent_8w,全量维度,27.857142857142858,11.142857142857142
整体,法属圣马丁,2026-06-22,整体,Old,recent_8w,全量维度,5.142857142857143,2.7142857142857144
整体,赤道几内亚,2026-06-22,Android,整体,recent_8w,全量维度,5.857142857142857,1.7142857142857142
整体,不丹,2026-06-15,Android,Old,recent_8w,全量维度,2.3333333333333335,0.3333333333333333
整体,百慕大,2026-07-06,iOS,整体,recent_8w,全量维度,27.571428571428573,10.714285714285714
整体,立陶宛,2026-07-06,整体,整体,recent_8w,全量维度,971.5714285714286,305.85714285714283
整体,牙买加,2026-06-29,整体,Old,recent_8w,全量维度,436.57142857142856,145.0
整体,库克群岛,2026-06-29,整体,Old,recent_8w,全量维度,3.857142857142857,1.7142857142857142
整体,百慕大,2026-07-27,Android,New,recent_8w,全量维度,1.0,0.0
整体,莱索托,2026-07-20,整体,Old,recent_8w,全量维度,11.142857142857142,3.2857142857142856
整体,伯利兹,2026-07-13,iOS,整体,recent_8w,全量维度,45.285714285714285,16.0
整体,赤道几内亚,2026-06-22,iOS,New,recent_8w,全量维度,3.0,0.5
整体,塞舌尔,2026-07-20,Android,New,recent_8w,全量维度,1.0,1.0
