渠道自然,国家,日期,平台,DNU,_window,_query
Organic,哈萨克斯坦,2026-07-27T00:00:00,整体,205.71428571428572,recent_8w,全量维度
整体,斯洛伐克,2026-06-15T00:00:00,Android,5.142857142857143,recent_8w,全量维度
整体,关岛,2026-07-27T00:00:00,Android,1.0,recent_8w,全量维度
non-Organic,斐济,2026-06-08T00:00:00,iOS,1.0,recent_8w,全量维度
non-Organic,利比里亚,2026-07-20T00:00:00,iOS,1.0,recent_8w,全量维度
整体,澳门,2026-06-15T00:00:00,Android,1.0,recent_8w,全量维度
Organic,萨尔瓦多,2026-06-22T00:00:00,整体,13.428571428571429,recent_8w,全量维度
整体,爱沙尼亚,2026-07-06T00:00:00,iOS,33.57142857142857,recent_8w,全量维度
整体,多哥,2026-06-08T00:00:00,整体,7.0,recent_8w,全量维度
non-Organic,萨尔瓦多,2026-07-27T00:00:00,整体,2.0,recent_8w,全量维度
整体,多哥,2026-07-13T00:00:00,Android,2.0,recent_8w,全量维度
Organic,玻利维亚,2026-06-15T00:00:00,Android,15.714285714285714,recent_8w,全量维度
整体,纳米比亚,2026-06-08T00:00:00,整体,3.8333333333333335,recent_8w,全量维度
non-Organic,葡萄牙,2026-06-22T00:00:00,Android,6.142857142857143,recent_8w,全量维度
整体,捷克,2026-06-29T00:00:00,Android,8.714285714285714,recent_8w,全量维度
整体,捷克,2026-06-29T00:00:00,iOS,45.0,recent_8w,全量维度
整体,捷克,2026-06-08T00:00:00,整体,59.714285714285715,recent_8w,全量维度
Organic,葡萄牙,2026-06-08T00:00:00,Android,22.571428571428573,recent_8w,全量维度
non-Organic,瑞典,2026-07-06T00:00:00,Android,4.0,recent_8w,全量维度
Organic,爱沙尼亚,2026-07-20T00:00:00,Android,4.0,recent_8w,全量维度
整体,unknow,2026-06-08T00:00:00,iOS,1.0,recent_8w,全量维度
non-Organic,斯洛伐克,2026-07-13T00:00:00,Android,1.0,recent_8w,全量维度
整体,乌克兰,2026-06-22T00:00:00,整体,634.7142857142857,recent_8w,全量维度
整体,意大利,2026-07-06T00:00:00,iOS,355.42857142857144,recent_8w,全量维度
Organic,关岛,2026-07-20T00:00:00,iOS,2.6666666666666665,recent_8w,全量维度
Organic,法国,2026-06-08T00:00:00,整体,330.0,recent_8w,全量维度
整体,美国,2026-06-22T00:00:00,整体,6435.857142857143,recent_8w,全量维度
Organic,萨尔瓦多,2026-07-13T00:00:00,整体,14.714285714285714,recent_8w,全量维度
整体,以色列,2026-07-20T00:00:00,iOS,84.0,recent_8w,全量维度
整体,利比亚,2026-06-08T00:00:00,iOS,3.857142857142857,recent_8w,全量维度
整体,意大利,2026-06-29T00:00:00,iOS,350.85714285714283,recent_8w,全量维度
整体,unknow,2026-07-13T00:00:00,整体,2.6666666666666665,recent_8w,全量维度
non-Organic,萨尔瓦多,2026-06-15T00:00:00,Android,2.0,recent_8w,全量维度
Organic,玻利维亚,2026-07-27T00:00:00,Android,22.714285714285715,recent_8w,全量维度
整体,蒙古,2026-06-15T00:00:00,iOS,5.0,recent_8w,全量维度
整体,葡萄牙,2026-07-27T00:00:00,Android,53.714285714285715,recent_8w,全量维度
non-Organic,哈萨克斯坦,2026-06-29T00:00:00,Android,5.571428571428571,recent_8w,全量维度
整体,关岛,2026-06-29T00:00:00,iOS,3.0,recent_8w,全量维度
Organic,巴基斯坦,2026-07-20T00:00:00,Android,161.42857142857142,recent_8w,全量维度
Organic,瑞典,2026-06-29T00:00:00,iOS,126.85714285714286,recent_8w,全量维度
整体,多哥,2026-06-08T00:00:00,iOS,3.0,recent_8w,全量维度
non-Organic,关岛,2026-06-15T00:00:00,iOS,1.0,recent_8w,全量维度
Organic,澳门,2026-07-13T00:00:00,整体,1.5,recent_8w,全量维度
non-Organic,以色列,2026-07-06T00:00:00,iOS,2.4,recent_8w,全量维度
整体,萨尔瓦多,2026-07-27T00:00:00,Android,10.428571428571429,recent_8w,全量维度
non-Organic,关岛,2026-06-22T00:00:00,iOS,1.0,recent_8w,全量维度
Organic,纳米比亚,2026-06-08T00:00:00,iOS,3.0,recent_8w,全量维度
整体,墨西哥,2026-07-13T00:00:00,整体,2189.714285714286,recent_8w,全量维度
non-Organic,斐济,2026-07-27T00:00:00,整体,1.0,recent_8w,全量维度
Organic,葡萄牙,2026-07-13T00:00:00,Android,26.285714285714285,recent_8w,全量维度
non-Organic,多哥,2026-07-13T00:00:00,整体,1.5,recent_8w,全量维度
整体,unknow,2026-06-15T00:00:00,iOS,1.0,recent_8w,全量维度
non-Organic,关岛,2026-06-22T00:00:00,Android,1.0,recent_8w,全量维度
non-Organic,坦桑尼亚,2026-06-29T00:00:00,iOS,1.0,recent_8w,全量维度
Organic,利比亚,2026-07-06T00:00:00,整体,11.428571428571429,recent_8w,全量维度
整体,比利时,2026-07-13T00:00:00,整体,58.57142857142857,recent_8w,全量维度
Organic,意大利,2026-07-20T00:00:00,iOS,375.7142857142857,recent_8w,全量维度
整体,加拿大,2026-07-20T00:00:00,整体,567.5714285714286,recent_8w,全量维度
