层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.马耳他,马耳他 新增UV,11.714286,9.285714,10.714286,9.428571,7.285714,8.142857,6.285714,10.714286,2.428571,26.153846,7.784e-06,-11.119947,0.005447
2.2.马达加斯加,马达加斯加 新增UV,14.0,14.714286,13.714286,13.428571,14.0,15.857143,16.571429,18.714286,-0.714286,-4.854369,-9.37e-07,1.338609,-0.000656
2.2.马里,马里 新增UV,49.714286,57.428571,208.0,31.714286,31.142857,16.0,15.428571,17.571429,-7.714286,-13.432836,-1.15334e-05,16.476241,-0.008071
2.2.黎巴嫩,黎巴嫩 新增UV,34.714286,31.571429,39.285714,48.142857,51.285714,38.142857,41.571429,41.571429,3.142857,9.954751,4.108e-07,-0.586858,0.000287
2.2.黑山,黑山 新增UV,22.571429,20.428571,23.857143,24.571429,23.285714,17.571429,18.857143,20.142857,2.142857,10.48951,2.3083e-06,-3.297517,0.001615
3,整体 新增次日留存UV,6039.857143,6019.142857,6373.571429,6158.285714,6539.571429,5805.571429,5066.142857,5031.714286,20.714286,0.34414,,,
3.1,渠道 新增次日留存UV,1824.857143,1837.714286,1831.428571,1811.571429,1745.428571,1559.857143,1459.428571,1184.285714,-12.857143,-0.699627,,,
3.1.unknow,unknow 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.1.不丹,不丹 新增次日留存UV,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,
3.1.东帝汶,东帝汶 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.1.中国,中国 新增次日留存UV,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,,,,
3.1.中国台湾,中国台湾 新增次日留存UV,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,,,
3.1.中国澳门,中国澳门 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,
3.1.中国香港,中国香港 新增次日留存UV,10.857143,1.571429,3.428571,2.714286,0.857143,1.142857,0.5,0.166667,9.285714,590.909091,,,
3.1.中非,中非 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333,0.0,,,,
