m.date_p,m.os_type,code,m.is_new,country,duration,sub_suc_cnt,paid_cnt,trial_cnt,dismiss_cnt,new_gmv,renew_gmv,after_paid_gmv
20260721,iOS,实验组B,Old,其他,年,1,0,1,0,0.0,0,0
20260722,iOS,对照组,Old,其他,月,2,2,0,0,14.67,0,0
20260722,iOS,对照组,Old,英国,年,16,2,14,6,54.57,0,0
20260725,iOS,对照组,Old,巴西,月,26,26,0,1,80.38,0,0
20260726,iOS,实验组B,New,巴西,月,3,3,0,0,8.97,0,0
20260726,iOS,对照组,Old,巴西,年,84,20,64,20,205.53,0,0
20260719,iOS,实验组A,Old,澳大利亚,月,4,4,0,2,35.52,0,0
20260719,iOS,实验组B,New,其他,月,1,1,0,1,10.19,0,0
20260719,iOS,实验组B,New,英国,年,1,0,1,1,0.0,0,0
20260719,iOS,对照组,Old,其他,年,5,2,3,3,55.02,0,0
20260720,iOS,实验组A,New,英国,年,4,0,4,4,0.0,0,0
20260721,iOS,实验组B,Old,澳大利亚,月,1,1,0,0,8.91,0,0
20260722,iOS,实验组B,New,英国,年,2,0,2,1,0.0,0,0
20260723,iOS,实验组A,Old,巴西,周,2,2,0,1,3.11,0,0
20260724,iOS,实验组A,Old,巴西,月,17,17,0,3,54.33,0,0
20260719,iOS,实验组A,Old,澳大利亚,年,11,7,7,4,255.89,0,8.88
20260719,iOS,实验组B,New,其他,年,2,2,2,2,77.69,0,0
20260719,iOS,对照组,Old,澳大利亚,月,6,6,0,2,51.51,0,0
20260720,iOS,对照组,New,其他,月,1,1,0,0,10.17,0,0
20260720,iOS,对照组,New,英国,年,13,0,13,7,0.0,0,0
20260721,iOS,实验组B,Old,澳大利亚,年,1,1,0,1,28.09,0,0
20260722,iOS,对照组,Old,澳大利亚,月,3,3,0,1,26.7,0,0
20260723,iOS,实验组B,Old,英国,分期年卡,2,2,0,0,9.31,0,0
20260724,iOS,对照组,Old,巴西,月,19,19,0,2,60.8,0,0
20260725,iOS,实验组B,Old,巴西,周,1,1,0,0,1.55,0,0
20260717,iOS,实验组A,Old,英国,月,3,3,0,0,30.57,0,0
20260717,iOS,对照组,Old,其他,年,7,3,6,4,89.95,0,0
20260718,iOS,实验组B,Old,其他,月,1,1,0,1,3.21,0,0
20260718,iOS,实验组B,Old,英国,年,2,1,1,1,27.46,0,0
