层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%
1.秘鲁.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,3097.0,2436.0,2874.0,2812.0,2919.0,2928.0,3776.0,4235.0,3685.0,3580.0,2383.0,2856.0,2745.0,2591.0,661.0,27.134647
1.秘鲁.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,19159.0,19113.0,20359.0,20052.0,20583.0,20643.0,23131.0,23507.0,22865.0,32109.0,25557.0,26084.0,26733.0,26237.0,46.0,0.240674
1.突尼斯,突尼斯MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,4888.0,4386.0,4219.0,3865.0,3705.0,3218.0,3960.0,4413.0,4572.0,6681.0,6693.0,8468.0,7989.0,7284.0,502.0,11.445508
1.突尼斯.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1260.0,991.0,1030.0,818.0,671.0,485.0,585.0,601.0,678.0,882.0,757.0,1459.0,1141.0,831.0,269.0,27.144299
1.突尼斯.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,47.0,44.0,38.0,40.0,64.0,37.0,39.0,28.0,18.0,14.0,68.0,86.0,60.0,58.0,3.0,6.818182
1.突尼斯.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,1213.0,947.0,992.0,778.0,607.0,448.0,546.0,573.0,660.0,868.0,689.0,1373.0,1081.0,773.0,266.0,28.088701
1.突尼斯.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,3628.0,3395.0,3189.0,3047.0,3034.0,2733.0,3375.0,3812.0,3894.0,5799.0,5936.0,7009.0,6848.0,6453.0,233.0,6.863034
1.立陶宛,立陶宛MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,12043.0,11058.0,9736.0,8748.0,11557.0,9866.0,9600.0,9795.0,8476.0,9618.0,6509.0,7460.0,7566.0,6850.0,985.0,8.907578
1.立陶宛.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1386.0,1432.0,1071.0,819.0,995.0,810.0,944.0,1007.0,878.0,715.0,323.0,499.0,463.0,429.0,-46.0,-3.212291
1.立陶宛.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,32.0,36.0,32.0,33.0,42.0,34.0,44.0,34.0,25.0,17.0,54.0,77.0,54.0,56.0,-4.0,-11.111111
1.立陶宛.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,1354.0,1396.0,1039.0,786.0,953.0,776.0,900.0,973.0,853.0,698.0,269.0,422.0,409.0,373.0,-42.0,-3.008596
1.立陶宛.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,10657.0,9626.0,8665.0,7929.0,10562.0,9056.0,8656.0,8788.0,7598.0,8903.0,6186.0,6961.0,7103.0,6421.0,1031.0,10.710576
1.索马里,索马里MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,1469.0,1500.0,1549.0,1499.0,1513.0,1363.0,1674.0,1873.0,1927.0,2450.0,2240.0,2540.0,2655.0,2898.0,-31.0,-2.066667
1.索马里.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,368.0,402.0,413.0,332.0,331.0,211.0,272.0,299.0,308.0,452.0,290.0,406.0,391.0,464.0,-34.0,-8.457711
1.索马里.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,23.0,26.0,17.0,16.0,38.0,4.0,14.0,11.0,9.0,7.0,14.0,17.0,12.0,13.0,-3.0,-11.538462
1.索马里.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,345.0,376.0,396.0,316.0,293.0,207.0,258.0,288.0,299.0,445.0,276.0,389.0,379.0,451.0,-31.0,-8.244681
1.索马里.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1101.0,1098.0,1136.0,1167.0,1182.0,1152.0,1402.0,1574.0,1619.0,1998.0,1950.0,2134.0,2264.0,2434.0,3.0,0.273224
1.约旦,约旦MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,4617.0,4407.0,5127.0,4398.0,4027.0,3869.0,4717.0,5335.0,7900.0,6628.0,6224.0,7356.0,7286.0,6976.0,210.0,4.765146
1.约旦.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,995.0,892.0,1405.0,1107.0,757.0,585.0,781.0,838.0,3652.0,1177.0,1018.0,1331.0,1235.0,1124.0,103.0,11.547085
1.约旦.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,37.0,52.0,73.0,41.0,54.0,35.0,41.0,40.0,48.0,21.0,85.0,78.0,90.0,75.0,-15.0,-28.846154
1.约旦.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,958.0,840.0,1332.0,1066.0,703.0,550.0,740.0,798.0,3604.0,1156.0,933.0,1253.0,1145.0,1049.0,118.0,14.047619
1.约旦.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,3622.0,3515.0,3722.0,3291.0,3270.0,3284.0,3936.0,4497.0,4248.0,5451.0,5206.0,6025.0,6051.0,5852.0,107.0,3.044097
1.纳米比亚,纳米比亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,660.0,621.0,640.0,657.0,665.0,607.0,748.0,769.0,714.0,1010.0,741.0,784.0,790.0,745.0,39.0,6.280193
1.纳米比亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,104.0,69.0,109.0,82.0,101.0,83.0,101.0,103.0,95.0,126.0,65.0,81.0,57.0,47.0,35.0,50.724638
1.纳米比亚.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,,,4.0,5.0,12.0,6.0,6.0,3.0,5.0,,5.0,5.0,4.0,2.0,,
1.纳米比亚.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,104.0,69.0,105.0,77.0,89.0,77.0,95.0,100.0,90.0,126.0,60.0,76.0,53.0,45.0,35.0,50.724638
1.纳米比亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,556.0,552.0,531.0,575.0,564.0,524.0,647.0,666.0,619.0,884.0,676.0,703.0,733.0,698.0,4.0,0.724638
