层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.加纳.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,7066.0,3924.0,1096.0,930.0,1120.0,1059.0,792.0,1047.0,668.0,732.0,690.0,670.0,,,3142.0,80.071356,3142.0,1.30524,0.054406
1.加纳.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,5893.0,3839.0,3934.0,3748.0,4266.0,4397.0,4063.0,5122.0,4682.0,4850.0,4868.0,5180.0,,,2054.0,53.503517,2054.0,0.853266,0.035566
1.加蓬,加蓬MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,151.0,126.0,157.0,295.0,355.0,396.0,358.0,532.0,434.0,508.0,485.0,455.0,,,25.0,19.84127,25.0,0.010385,0.000433
1.加蓬.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,17.0,16.0,16.0,57.0,49.0,72.0,58.0,81.0,56.0,97.0,80.0,53.0,,,1.0,6.25,1.0,0.000415,1.7e-05
1.加蓬.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,134.0,110.0,141.0,238.0,306.0,324.0,300.0,451.0,378.0,411.0,405.0,402.0,,,24.0,21.818182,24.0,0.00997,0.000416
1.匈牙利,匈牙利MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,9359.0,8889.0,8753.0,8171.0,9059.0,10697.0,9626.0,12786.0,11404.0,13475.0,13203.0,13546.0,,,470.0,5.287434,470.0,0.195246,0.008138
1.匈牙利.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1301.0,1166.0,1089.0,981.0,1121.0,1400.0,1204.0,1284.0,870.0,1340.0,1297.0,1193.0,,,135.0,11.578045,135.0,0.056081,0.002338
1.匈牙利.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,8058.0,7723.0,7664.0,7190.0,7938.0,9297.0,8422.0,11502.0,10534.0,12135.0,11906.0,12353.0,,,335.0,4.337693,335.0,0.139165,0.005801
1.北马其顿,北马其顿MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,6747.0,6327.0,6116.0,5567.0,6604.0,6488.0,5978.0,8399.0,7293.0,8656.0,8354.0,7876.0,,,420.0,6.638217,420.0,0.174475,0.007273
1.北马其顿.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1002.0,833.0,826.0,640.0,803.0,760.0,752.0,682.0,375.0,540.0,539.0,433.0,,,169.0,20.288115,169.0,0.070205,0.002926
1.北马其顿.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,5745.0,5494.0,5290.0,4927.0,5801.0,5728.0,5226.0,7717.0,6918.0,8116.0,7815.0,7443.0,,,251.0,4.56862,251.0,0.10427,0.004346
1.北马里亚纳群岛,北马里亚纳群岛MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,3.0,7.0,82.0,79.0,79.0,32.0,23.0,21.0,21.0,24.0,25.0,22.0,,,-4.0,-57.142857,-4.0,-0.001662,-6.9e-05
1.北马里亚纳群岛.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,,,14.0,8.0,15.0,7.0,4.0,2.0,,1.0,1.0,2.0,,,,,,,
1.北马里亚纳群岛.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,,,68.0,71.0,64.0,25.0,19.0,19.0,,23.0,24.0,20.0,,,,,,,
1.南极洲,南极洲MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,12.0,2.0,,1.0,1.0,,,,,,1.0,,,,10.0,500.0,10.0,0.004154,0.000173
1.南极洲.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,,,,
