日期,平台,国家,订阅类型,订阅毛利（剔除退款，$）,新增毛利,续订毛利
2025-07-01,整体,古巴,整体,0.0,,
2025-07-01,整体,台湾,整体,1424.3429999999998,563.5619999999999,930.6089999999997
2025-07-01,整体,吉尔吉斯斯坦,整体,499.4860000000001,338.338,245.47800000000007
2025-07-01,整体,吉布提,整体,0.0,,
2025-07-01,整体,哈萨克斯坦,整体,5349.136,3679.12,2715.411
2025-07-01,整体,哥伦比亚,整体,17608.100000000002,7180.739000000002,11040.278999999999
2025-07-01,整体,哥斯达黎加,整体,3217.824,1433.7040000000002,1907.7889999999998
2025-07-01,整体,喀麦隆,整体,24.638,4.312,20.326
2025-07-01,整体,土库曼斯坦,整体,0.0,,
2025-07-01,整体,土耳其,整体,14358.402,8258.985,6745.504000000001
2025-07-01,整体,圣卢西亚,整体,225.43,126.39500000000001,142.435
2025-07-01,整体,圣基茨和尼维斯,整体,136.942,56.117000000000004,80.825
2025-07-01,整体,圣多美和普林西比,整体,0.0,,
2025-07-01,整体,圣巴泰勒米岛,整体,0.0,,
2025-07-01,整体,圣文森特和格林纳丁斯,整体,21.27,8.33,12.94
2025-07-01,整体,圣皮埃尔和密克隆群岛,整体,0.0,,
2025-07-01,整体,圣诞岛,整体,0.0,,
2025-07-01,整体,圣马力诺,整体,0.0,,
2025-07-01,整体,圭亚那,整体,103.37799999999999,53.548,49.83
2025-07-01,整体,坦桑尼亚,整体,252.283,134.474,119.89699999999999
2025-07-01,整体,埃及,整体,1095.4940000000001,546.299,581.098
2025-07-01,整体,埃塞俄比亚,整体,0.0,,
2025-07-01,整体,基里巴斯,整体,0.0,,
2025-07-01,整体,塔吉克斯坦,整体,121.99599999999998,96.78200000000001,25.214
2025-07-01,整体,塞内加尔,整体,110.60300000000002,81.47999999999999,29.123000000000005
2025-07-01,整体,塞尔维亚,整体,11242.998000000001,4860.84,6951.571000000001
2025-07-01,整体,塞拉利昂,整体,104.05300000000001,67.548,36.505
2025-07-01,整体,塞浦路斯,整体,3788.0959999999995,1532.5270000000003,2410.6650000000004
2025-07-01,整体,塞舌尔,整体,45.260000000000005,20.648,24.612
2025-07-01,整体,墨西哥,整体,64034.811,22298.928999999996,44539.09699999999
2025-07-01,整体,多哥,整体,0.0,,
2025-07-01,整体,多米尼克,整体,36.721,20.746,15.975
2025-07-01,整体,多米尼加,整体,2943.582,1141.446,2013.2759999999996
2025-07-01,整体,奥兰群岛,整体,0.0,,
2025-07-01,整体,奥地利,整体,10478.059,4630.820999999999,6245.252000000001
2025-07-01,整体,委内瑞拉,整体,186.616,114.52199999999999,93.794
2025-07-01,整体,孟加拉,整体,50.41799999999999,13.763,39.964999999999996
2025-07-01,整体,安哥拉,整体,214.582,79.888,134.694
2025-07-01,整体,安圭拉,整体,0.0,,
2025-07-01,整体,安提瓜和巴布达,整体,108.87800000000001,38.723,70.15499999999999
2025-07-01,整体,安道尔,整体,0.0,,
2025-07-01,整体,密克罗尼西亚联邦,整体,0.0,,
2025-07-01,整体,尼加拉瓜,整体,397.60499999999996,217.00799999999998,192.49699999999999
2025-07-01,整体,尼日利亚,整体,1652.5310000000004,1089.3119999999997,617.9409999999998
2025-07-01,整体,尼日尔,整体,0.0,,
2025-07-01,整体,尼泊尔,整体,7.498,4.501,2.997
2025-07-01,整体,巴勒斯坦,整体,0.0,,
2025-07-01,整体,巴哈马,整体,725.185,403.732,356.44300000000004
2025-07-01,整体,巴基斯坦,整体,1044.26,518.6659999999999,565.935
2025-07-01,整体,巴巴多斯,整体,213.31,123.1,128.32999999999998
2025-07-01,整体,巴布亚新几内亚,整体,32.324,25.449,6.875
2025-07-01,整体,巴拉圭,整体,1766.726,765.042,1090.584
2025-07-01,整体,巴拿马,整体,1627.6079999999997,558.441,1115.5
2025-07-01,整体,巴林,整体,415.75800000000004,207.13800000000003,243.60999999999999
2025-07-01,整体,巴西,整体,387427.01499999996,233227.80299999996,184730.93199999997
2025-07-01,整体,布基纳法索,整体,55.3,51.8,3.5
2025-07-01,整体,布隆迪,整体,0.0,,
2025-07-01,整体,布韦岛,整体,0.0,,
2025-07-01,整体,希腊,整体,19839.141,7074.389999999999,13247.534
2025-07-01,整体,帕劳,整体,8.33,8.33,0.0
2025-07-01,整体,库克群岛,整体,0.0,,
2025-07-01,整体,库拉索,整体,0.0,,
2025-07-01,整体,开曼群岛,整体,312.12600000000003,163.45,148.67600000000002
2025-07-01,整体,德国,整体,86856.15199999999,37525.570999999996,53909.27599999999
2025-07-01,整体,意大利,整体,24868.183999999997,9760.996,16468.885000000002
2025-07-01,整体,所罗门群岛,整体,30.8,30.8,0.0
2025-07-01,整体,拉脱维亚,整体,2351.1970000000006,1150.9070000000002,1375.3659999999998
2025-07-01,整体,挪威,整体,8808.822999999997,3983.3119999999994,5036.467999999999
2025-07-01,整体,捷克,整体,7910.786,2659.9950000000003,5520.572999999999
2025-07-01,整体,摩尔多瓦,整体,1474.034,771.976,821.8329999999999
2025-07-01,整体,摩洛哥,整体,531.477,390.8279999999999,156.91000000000003
2025-07-01,整体,摩纳哥,整体,0.0,,
2025-07-01,整体,整体,整体,3998519.6180000002,1770760.9039999996,2457173.537
2025-07-01,整体,文莱,整体,35.49,5.6,29.89
2025-07-01,整体,斐济,整体,76.152,46.122,30.03
2025-07-01,整体,斯威士兰,整体,7.7,7.7,0.0
2025-07-01,整体,斯洛伐克,整体,4260.040000000001,1268.807,3035.7469999999994
2025-07-01,整体,斯洛文尼亚,整体,2292.661,840.976,1499.7979999999998
2025-07-01,整体,斯里兰卡,整体,382.18799999999993,225.97299999999998,168.11499999999998
2025-07-01,整体,新加坡,整体,2184.453,945.4489999999998,1333.7680000000003
2025-07-01,整体,新喀里多尼亚,整体,4.064,4.064,0.0
2025-07-01,整体,新西兰,整体,9123.029,4364.652,5614.413
2025-07-01,整体,日本,整体,2752.7379999999994,1293.115,1500.9320000000005
