enter_abtest_date,active_date,abcode,lcx,week_day,control_active0,control_activex,retention_rate
20260501,20260516,28907,15,6,7116,268,0.0377
20260501,20260517,28907,16,7,7116,303,0.0426
20260501,20260518,28907,17,1,7116,254,0.0357
20260502,20260503,28907,1,7,8776,1272,0.1449
20260502,20260504,28907,2,1,8776,803,0.0915
20260502,20260505,28907,3,2,8776,540,0.0615
20260502,20260506,28907,4,3,8776,500,0.057
20260502,20260507,28907,5,4,8776,431,0.0491
20260502,20260508,28907,6,5,8776,435,0.0496
20260502,20260509,28907,7,6,8776,463,0.0528
20260502,20260510,28907,8,7,8776,550,0.0627
20260502,20260511,28907,9,1,8776,475,0.0541
20260502,20260512,28907,10,2,8776,343,0.0391
20260502,20260513,28907,11,3,8776,324,0.0369
20260502,20260514,28907,12,4,8776,327,0.0373
20260502,20260515,28907,13,5,8776,306,0.0349
20260502,20260516,28907,14,6,8776,354,0.0403
20260502,20260517,28907,15,7,8776,396,0.0451
20260502,20260518,28907,16,1,8776,321,0.0366
20260503,20260504,28907,1,1,9331,1391,0.1491
20260503,20260505,28907,2,2,9331,763,0.0818
20260503,20260506,28907,3,3,9331,591,0.0633
20260503,20260507,28907,4,4,9331,536,0.0574
20260503,20260508,28907,5,5,9331,519,0.0556
20260503,20260509,28907,6,6,9331,500,0.0536
20260503,20260510,28907,7,7,9331,610,0.0654
20260503,20260511,28907,8,1,9331,557,0.0597
20260503,20260512,28907,9,2,9331,364,0.039
20260503,20260513,28907,10,3,9331,343,0.0368
20260503,20260514,28907,11,4,9331,339,0.0363
20260503,20260515,28907,12,5,9331,367,0.0393
20260503,20260516,28907,13,6,9331,365,0.0391
20260503,20260517,28907,14,7,9331,412,0.0442
20260503,20260518,28907,15,1,9331,389,0.0417
20260504,20260505,28907,1,2,9346,1272,0.1361
20260504,20260506,28907,2,3,9346,768,0.0822
20260504,20260507,28907,3,4,9346,626,0.067
20260504,20260508,28907,4,5,9346,545,0.0583
20260504,20260509,28907,5,6,9346,549,0.0587
20260504,20260510,28907,6,7,9346,588,0.0629
20260504,20260511,28907,7,1,9346,598,0.064
20260504,20260512,28907,8,2,9346,403,0.0431
20260504,20260513,28907,9,3,9346,359,0.0384
